Depth Averaged Temps (0/300m,deg C,5N-5S,120E-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
200611 0.1952489E+02 0.4749889E+00
200612 0.1940152E+02 0.3333035E+00
200701 0.1908914E+02 0.8244324E-01
200702 0.1882234E+02 -.9532738E-01
200703 0.1867724E+02 -.1908379E+00
200704 0.1862371E+02 -.2151928E+00
200705 0.1862337E+02 -.1737614E+00
200706 0.1860768E+02 -.1324272E+00
200707 0.1855471E+02 -.1397610E+00
200708 0.1854052E+02 -.1744576E+00
200709 0.1858322E+02 -.2284908E+00
200710 0.1866303E+02 -.2780247E+00
200711 0.1876321E+02 -.2866879E+00
200712 0.1878866E+02 -.2795544E+00
200801 0.1871041E+02 -.2962952E+00
200802 0.1867191E+02 -.2457542E+00
200803 0.1875444E+02 -.1136398E+00
200804 0.1885687E+02 0.1796722E-01
200805 0.1890350E+02 0.1063671E+00
200806 0.1888157E+02 0.1414623E+00
200807 0.1879341E+02 0.9894371E-01
200808 0.1870429E+02 -.1068115E-01
200809 0.1870679E+02 -.1049232E+00
200810 0.1879640E+02 -.1446552E+00
200811 0.1884424E+02 -.2056637E+00
200812 0.1883182E+02 -.2363987E+00
200901 0.1882221E+02 -.1844864E+00
200902 0.1881592E+02 -.1017418E+00
200903 0.1887500E+02 0.6917953E-02
200904 0.1899913E+02 0.1602211E+00
200905 0.1909921E+02 0.3020840E+00
200906 0.1913603E+02 0.3959198E+00
200907 0.1910797E+02 0.4134979E+00
200908 0.1910784E+02 0.3928661E+00
200909 0.1920487E+02 0.3931618E+00
200910 0.1937648E+02 0.4354248E+00
200911 0.1953394E+02 0.4840336E+00
200912 0.1953184E+02 0.4636230E+00
201001 0.1939969E+02 0.3929863E+00
201002 0.1926664E+02 0.3489761E+00
201003 0.1911261E+02 0.2445240E+00
201004 0.1888076E+02 0.4185486E-01
201005 0.1863379E+02 -.1633434E+00
201006 0.1845942E+02 -.2806873E+00
201007 0.1834767E+02 -.3468018E+00
201008 0.1828627E+02 -.4287071E+00
201009 0.1831352E+02 -.4981956E+00
201010 0.1844625E+02 -.4948101E+00
201011 0.1860851E+02 -.4413967E+00
201012 0.1870496E+02 -.3632584E+00
201101 0.1881298E+02 -.1937180E+00
201102 0.1897770E+02 0.6003380E-01
201103 0.1908298E+02 0.2148991E+00
201104 0.1910110E+02 0.2621937E+00
201105 0.1905437E+02 0.2572422E+00
201106 0.1894523E+02 0.2051163E+00
201107 0.1881543E+02 0.1209602E+00
201108 0.1872065E+02 0.5672455E-02
201109 0.1870101E+02 -.1107063E+00
201110 0.1875628E+02 -.1847744E+00
201111 0.1882950E+02 -.2203999E+00
201112 0.1884826E+02 -.2199516E+00
201201 0.1881441E+02 -.1922894E+00
201202 0.1879226E+02 -.1254082E+00
201203 0.1882400E+02 -.4408646E-01
201204 0.1889734E+02 0.5843163E-01
201205 0.1896021E+02 0.1630840E+00
201206 0.1897025E+02 0.2301350E+00
201207 0.1893919E+02 0.2447224E+00
201208 0.1892114E+02 0.2061672E+00
201209 0.1895902E+02 0.1473122E+00
201210 0.1903374E+02 0.9267998E-01
201211 0.1907405E+02 0.2414322E-01
201212 0.1904147E+02 -.2674294E-01
201301 0.1897372E+02 -.3297806E-01
201302 0.1891382E+02 -.3841400E-02
201303 0.1886140E+02 -.6683350E-02
201304 0.1881231E+02 -.2659225E-01
201305 0.1878107E+02 -.1606178E-01
201306 0.1877342E+02 0.3331184E-01
201307 0.1878946E+02 0.9498787E-01
201308 0.1885244E+02 0.1374645E+00
201309 0.1897809E+02 0.1663742E+00
201310 0.1913458E+02 0.1935196E+00
201311 0.1924950E+02 0.1996002E+00
201312 0.1926609E+02 0.1978703E+00
201401 0.1923692E+02 0.2302170E+00
201402 0.1926715E+02 0.3494816E+00
201403 0.1933771E+02 0.4696274E+00
201404 0.1933592E+02 0.4970131E+00
201405 0.1922420E+02 0.4270668E+00
201406 0.1907360E+02 0.3334942E+00
201407 0.1899573E+02 0.3012600E+00
201408 0.1904937E+02 0.3343906E+00
201409 0.1919183E+02 0.3801136E+00
201410 0.1934643E+02 0.4053669E+00
201411 0.1944363E+02 0.3937263E+00
201412 0.1943167E+02 0.3634567E+00
201501 0.1936024E+02 0.3535347E+00
201502 0.1934208E+02 0.4244175E+00
201503 0.1939667E+02 0.5285835E+00
201504 0.1944566E+02 0.6067505E+00
201505 0.1943342E+02 0.6362915E+00
201506 0.1938791E+02 0.6478024E+00
201507 0.1937049E+02 0.6760254E+00
201508 0.1941193E+02 0.6969528E+00
201509 0.1950737E+02 0.6956539E+00
201510 0.1961215E+02 0.6710892E+00
201511 0.1964608E+02 0.5961800E+00
201512 0.1954692E+02 0.4787064E+00
201601 0.1931079E+02 0.3040848E+00
201602 0.1899980E+02 0.8213234E-01
201603 0.1871199E+02 -.1560879E+00
201604 0.1851207E+02 -.3268394E+00
201605 0.1841342E+02 -.3837128E+00
201606 0.1839721E+02 -.3429031E+00
201607 0.1843390E+02 -.2605648E+00
201608 0.1851178E+02 -.2031937E+00
201609 0.1862217E+02 -.1895390E+00
201610 0.1875919E+02 -.1818714E+00
201611 0.1891044E+02 -.1394577E+00
201612 0.1901895E+02 -.4926872E-01
201701 0.1905164E+02 0.4494286E-01
201702 0.1904957E+02 0.1319008E+00
201703 0.1905283E+02 0.1847439E+00
201704 0.1905963E+02 0.2207260E+00
201705 0.1904035E+02 0.2432232E+00
201706 0.1896520E+02 0.2250938E+00
201707 0.1884414E+02 0.1496658E+00
201708 0.1873373E+02 0.1875305E-01
201709 0.1870274E+02 -.1089764E+00
201710 0.1877048E+02 -.1705742E+00
201711 0.1887908E+02 -.1708241E+00
201712 0.1896499E+02 -.1032295E+00
201801 0.1902868E+02 0.2197838E-01
201802 0.1909546E+02 0.1777916E+00
201803 0.1917162E+02 0.3035374E+00
201804 0.1925106E+02 0.4121571E+00
201805 0.1930724E+02 0.5101109E+00
201806 0.1931606E+02 0.5759468E+00
201807 0.1930923E+02 0.6147594E+00
201808 0.1936003E+02 0.6450500E+00
201809 0.1950158E+02 0.6898651E+00
201810 0.1966961E+02 0.7285480E+00
201811 0.1975157E+02 0.7016697E+00
201812 0.1970026E+02 0.6320400E+00
201901 0.1957364E+02 0.5669346E+00
201902 0.1944125E+02 0.5235882E+00
201903 0.1929935E+02 0.4312706E+00
201904 0.1913735E+02 0.2984409E+00
201905 0.1899211E+02 0.1949768E+00
201906 0.1888581E+02 0.1457043E+00
201907 0.1882883E+02 0.1343594E+00
201908 0.1886559E+02 0.1506176E+00
201909 0.1901429E+02 0.2025757E+00
201910 0.1920685E+02 0.2657871E+00
201911 0.1934722E+02 0.2973213E+00
201912 0.1938659E+02 0.3183784E+00
202001 0.1933130E+02 0.3245964E+00
202002 0.1921914E+02 0.3014717E+00
202003 0.1908477E+02 0.2166882E+00
202004 0.1894064E+02 0.1017284E+00
202005 0.1879013E+02 -.7001877E-02
