Warm Water Volume (m**3,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
200902 0.1834251E+16 0.1202955E+15
200903 0.1830986E+16 0.1046343E+15
200904 0.1808587E+16 0.9202008E+14
200905 0.1772801E+16 0.8442094E+14
200906 0.1733942E+16 0.7564350E+14
200907 0.1697674E+16 0.5779791E+14
200908 0.1687182E+16 0.4691997E+14
200909 0.1705264E+16 0.4892008E+14
200910 0.1719988E+16 0.3595116E+14
200911 0.1709137E+16 0.1013344E+13
200912 0.1675624E+16 -.3365214E+14
201001 0.1653558E+16 -.4821920E+14
201002 0.1659639E+16 -.5431644E+14
201003 0.1664527E+16 -.6182498E+14
201004 0.1654781E+16 -.6178525E+14
201005 0.1635881E+16 -.5249913E+14
201006 0.1627280E+16 -.3101839E+14
201007 0.1631899E+16 -.7977096E+13
201008 0.1647667E+16 0.7404658E+13
201009 0.1693873E+16 0.3752996E+14
201010 0.1753505E+16 0.6946881E+14
201011 0.1799599E+16 0.9147569E+14
201012 0.1833299E+16 0.1240224E+15
201101 0.1868201E+16 0.1664235E+15
201102 0.1891757E+16 0.1778013E+15
201103 0.1884428E+16 0.1580760E+15
201104 0.1854980E+16 0.1384132E+15
201105 0.1812085E+16 0.1237046E+15
201106 0.1764272E+16 0.1059738E+15
201107 0.1729113E+16 0.8923680E+14
201108 0.1718571E+16 0.7830853E+14
201109 0.1736476E+16 0.8013282E+14
201110 0.1774373E+16 0.9033591E+14
201111 0.1808466E+16 0.1003420E+15
201112 0.1830184E+16 0.1209078E+15
201201 0.1846228E+16 0.1444512E+15
201202 0.1855751E+16 0.1417958E+15
201203 0.1853798E+16 0.1274470E+15
201204 0.1838655E+16 0.1220889E+15
201205 0.1807818E+16 0.1194377E+15
201206 0.1765189E+16 0.1068907E+15
201207 0.1723345E+16 0.8346920E+14
201208 0.1696329E+16 0.5606677E+14
201209 0.1692344E+16 0.3600095E+14
201210 0.1708184E+16 0.2414751E+14
201211 0.1731864E+16 0.2374016E+14
201212 0.1755685E+16 0.4640846E+14
201301 0.1779029E+16 0.7725237E+14
201302 0.1794705E+16 0.8074928E+14
201303 0.1793965E+16 0.6761312E+14
201304 0.1778915E+16 0.6234870E+14
201305 0.1755878E+16 0.6749810E+14
201306 0.1730397E+16 0.7209814E+14
201307 0.1712332E+16 0.7245556E+14
201308 0.1711120E+16 0.7085810E+14
201309 0.1730362E+16 0.7401799E+14
201310 0.1758797E+16 0.7476035E+14
201311 0.1780105E+16 0.7198124E+14
201312 0.1793929E+16 0.8465246E+14
201401 0.1813640E+16 0.1118630E+15
201402 0.1828780E+16 0.1148246E+15
201403 0.1813917E+16 0.8756539E+14
201404 0.1766018E+16 0.4945199E+14
201405 0.1709143E+16 0.2076214E+14
201406 0.1679464E+16 0.2116546E+14
201407 0.1686426E+16 0.4654993E+14
201408 0.1709366E+16 0.6910334E+14
201409 0.1729186E+16 0.7284224E+14
201410 0.1744889E+16 0.6085271E+14
201411 0.1752823E+16 0.4469960E+14
201412 0.1752048E+16 0.4277143E+14
201501 0.1752872E+16 0.5109508E+14
201502 0.1755955E+16 0.4199995E+14
201503 0.1748694E+16 0.2234296E+14
201504 0.1721725E+16 0.5158658E+13
201505 0.1680000E+16 -.8380555E+13
201506 0.1644697E+16 -.1360189E+14
201507 0.1624759E+16 -.1511721E+14
201508 0.1613978E+16 -.2628480E+14
201509 0.1608242E+16 -.4810189E+14
201510 0.1605177E+16 -.7885936E+14
201511 0.1594628E+16 -.1134959E+15
201512 0.1576824E+16 -.1324524E+15
201601 0.1557634E+16 -.1441433E+15
201602 0.1542670E+16 -.1712856E+15
201603 0.1539818E+16 -.1865334E+15
201604 0.1544846E+16 -.1717210E+15
201605 0.1547979E+16 -.1404011E+15
201606 0.1551429E+16 -.1068691E+15
201607 0.1564979E+16 -.7489671E+14
201608 0.1593213E+16 -.4704909E+14
201609 0.1635503E+16 -.2084093E+14
201610 0.1686463E+16 0.2426388E+13
201611 0.1725831E+16 0.1770694E+14
201612 0.1740698E+16 0.3142185E+14
201701 0.1743271E+16 0.4149422E+14
201702 0.1753603E+16 0.3964765E+14
201703 0.1766262E+16 0.3991045E+14
201704 0.1759721E+16 0.4315435E+14
201705 0.1726957E+16 0.3857632E+14
201706 0.1682845E+16 0.2454627E+14
201707 0.1649530E+16 0.9654281E+13
201708 0.1637698E+16 -.2564632E+13
201709 0.1654966E+16 -.1377208E+13
201710 0.1698617E+16 0.1458061E+14
201711 0.1742362E+16 0.3423800E+14
201712 0.1765635E+16 0.5635896E+14
201801 0.1783206E+16 0.8142869E+14
201802 0.1810640E+16 0.9668441E+14
201803 0.1828909E+16 0.1025576E+15
201804 0.1821627E+16 0.1050605E+15
201805 0.1792882E+16 0.1045017E+15
201806 0.1758133E+16 0.9983396E+14
201807 0.1740669E+16 0.1007928E+15
201808 0.1748107E+16 0.1078450E+15
201809 0.1761728E+16 0.1053843E+15
201810 0.1770829E+16 0.8679189E+14
201811 0.1772519E+16 0.6439538E+14
201812 0.1769139E+16 0.5986312E+14
201901 0.1768148E+16 0.6637107E+14
